pyr_scale,levels,winsize,iterations,poly_n,poly_sigma,avg_EPE
0.7,2,15,1,7,1.9,7.305849259
0.7,2,15,1,5,1.5,7.304847094
0.5,1,9,3,7,1.9,7.302761682
0.7,2,21,1,7,1.9,7.301505123
0.7,2,21,1,7,1.5,7.299470416
0.3,2,21,1,7,1.9,7.294356486
0.3,3,21,1,7,1.9,7.294356486
0.3,4,21,1,7,1.9,7.294356486
0.7,2,21,1,5,1.5,7.293818305
0.3,1,21,1,7,1.9,7.291860336
0.3,2,21,1,5,1.9,7.291570303
0.3,3,21,1,5,1.9,7.291570303
0.3,4,21,1,5,1.9,7.291570303
0.7,1,21,5,7,1.9,7.291528055
0.3,1,21,1,5,1.9,7.287496722
0.3,2,21,1,7,1.1,7.280186029
0.3,3,21,1,7,1.1,7.280186029
0.3,4,21,1,7,1.1,7.280186029
0.3,2,21,1,5,1.1,7.280108904
0.3,3,21,1,5,1.1,7.280108904
0.3,4,21,1,5,1.1,7.280108904
0.5,1,9,5,7,1.1,7.276740146
0.5,1,9,5,5,1.1,7.276719871
0.5,1,21,3,7,1.1,7.27600625
0.5,1,21,3,5,1.1,7.275972558
0.7,1,21,5,7,1.5,7.275916359
0.7,1,21,5,5,1.5,7.271264718
0.7,1,15,5,5,1.9,7.270737757
0.5,1,15,3,7,1.1,7.261434045
0.5,1,15,3,5,1.1,7.261404803
0.7,2,9,1,5,1.9,7.259763908
0.5,1,15,1,5,1.9,7.252922406
0.7,1,15,5,7,1.9,7.248568571
0.7,2,9,1,7,1.5,7.24460547
0.7,2,9,1,5,1.5,7.241845863
0.3,1,21,1,7,1.1,7.241560384
0.3,1,21,1,5,1.1,7.241477778
0.7,1,21,3,5,1.9,7.236188376
0.5,1,15,1,7,1.9,7.235589571
0.5,1,21,1,5,1.9,7.227802816
0.5,1,21,1,7,1.9,7.224659828
0.7,1,21,3,7,1.9,7.223508791
0.7,2,9,1,7,1.9,7.223496501
0.5,1,15,1,7,1.5,7.203416648
0.7,2,9,3,7,1.1,7.201228591
0.7,2,9,3,5,1.1,7.201205929
0.5,1,15,1,5,1.5,7.198596744
0.7,1,15,5,7,1.5,7.198047618
0.7,1,15,3,5,1.9,7.197835204
0.7,1,15,5,5,1.5,7.193267054
0.5,1,9,1,5,1.9,7.191090504
0.7,1,15,3,7,1.9,7.183287578
0.5,1,21,1,7,1.5,7.181490733
0.5,1,21,1,5,1.5,7.173631003
0.5,1,9,1,7,1.9,7.156294774
0.5,1,9,3,7,1.1,7.150384174
0.5,1,9,3,5,1.1,7.150359116
0.5,1,9,1,7,1.5,7.149703421
0.5,1,9,1,5,1.5,7.148178307
0.7,1,9,5,5,1.9,7.128032727
0.7,1,21,3,7,1.5,7.127462904
0.7,1,21,3,5,1.5,7.120739991
0.7,1,9,5,7,1.9,7.107905812
0.7,1,15,3,7,1.5,7.059135335
0.7,1,9,3,5,1.9,7.054606428
0.7,1,15,3,5,1.5,7.052734873
0.7,1,9,3,7,1.9,7.039403963
0.7,1,9,5,7,1.5,6.998844598
0.7,1,9,5,5,1.5,6.994033445
0.7,1,21,1,7,1.9,6.893260512
0.7,1,9,3,7,1.5,6.878912808
0.7,1,15,1,7,1.9,6.878391094
0.7,1,9,3,5,1.5,6.873043168
0.7,1,21,1,5,1.9,6.860370867
0.7,1,15,1,5,1.9,6.857319727
0.7,1,21,5,7,1.1,6.852151181
0.7,1,21,5,5,1.1,6.852097101
